ID,DIM0,DIM1,DIM2,DIM3,DIM4,DIM5,DIM6,DIM7,DIM8,DIM9,DIM10,DIM11,DIM12,DIM13,DIM14,DIM15,DIM16,DIM17,DIM18,DIM19,DIM20,DIM21,DIM22,DIM23
0,7.637396775672892,7.310318167001522,8.860643668674358,8.286847321806643,8.485443645934419,7.00850610818075,9.116278376651028,8.240245142882243,7.08907168047906,8.03444993171973,8.056399964112886,8.3533769353008,6.652819211457995,7.734839287234493,6.803951274896949,8.253127979213202,6.9914477133138835,7.522974942860462,7.120783904698604,7.073991250901469,7.510268986821151,7.205958136028294,7.265441668431441,8.10927785275245
1,8.496080837058278,8.992863076986717,8.094186641974579,6.873724517351065,7.622389868596235,8.80604941244791,9.042869537193015,6.995069136188217,8.93538260518027,8.407214038916628,7.706285620459035,8.288184561647022,8.53122261666954,6.865874917165295,7.632539289146543,6.953893033619076,7.741500609532026,7.212830037462187,8.999383696499017,8.656451381478437,7.750119226238061,8.064191150151819,7.636315379812482,7.627726174692533
2,8.325006600329685,5.205126079332094,6.976776884794564,8.727748999478298,6.875595610198039,8.653936808281674,8.098015973192798,8.643139385135886,6.076728728999018,9.202034109044106,8.11625757679435,7.385090215794387,8.00799374688262,8.94243263015538,8.701621982349625,7.090633728405913,7.457717445381883,8.330790599971307,8.93476756764814,6.9923378480089315,7.7586217712697065,9.581793911869795,6.712106236578018,7.059471143364631
3,9.9689991910052,6.7223690242877625,8.575766232089057,7.306483120870341,6.712329686592006,8.142226756133851,8.163284526599929,6.609109109368031,7.541058064350425,8.479065421197962,9.381380462734153,8.307255585282386,7.7714030237030345,8.055863291142588,8.631138183121024,7.7800826376060614,7.097425822520934,8.719269892379955,7.751403579116171,9.178292747901548,7.876404323980688,6.682137439384737,7.084004615559884,5.321817325694379
4,7.215254098872517,9.445100312844984,8.325870279896963,7.729600417184485,7.7251131708768135,8.810980252043809,6.683872289862058,8.080510126421801,7.963943855362506,7.6926283812820815,7.206891591563055,8.338609344625981,7.43042936600852,7.205927089524469,8.459254561531667,8.070817550919276,7.985187020905592,7.435126552774381,5.810310682325433,6.758332970318818,8.531614929528274,6.919905094073196,8.549233995214323,6.665732644773009
5,11.573298609144674,8.290364258838805,8.957009269116421,7.616471171789209,8.738448415627207,7.470171229613922,8.622098960988353,7.818406314387913,6.744973624227218,8.324034013116481,7.852189635006127,7.348333681791017,7.572202949829849,7.809635127979294,7.49037669510372,7.3583194637817435,7.175629923709855,7.036713135118434,9.501330317625275,7.992661975785651,10.604339795230329,7.726903806528098,5.194935271995726,6.089865258662995
6,7.302811435242983,6.882160400777818,6.8068423865366166,7.1958180345260665,7.076622799772708,7.7544054459244895,7.539816631410122,7.851205020995525,6.5007109365026166,6.71876810854484,8.476815542138983,7.972312646944382,7.993199644228052,9.749590546017895,6.861685080758083,8.005373752377904,8.434885403352077,5.639083367677556,9.415957159506199,8.090951029933679,8.374448346918115,9.175402823768717,6.237201329779119,7.128197553412323
7,8.5113321231394,9.397732176776938,9.054858603705336,7.884992822464388,6.930491548086389,9.092616163467149,7.472706322361699,9.852142412169144,7.9686172979995655,8.182816449548335,8.993686192129736,8.688480961054497,8.89904485016393,8.587396870222012,8.002379537032395,6.717191244784599,7.4296621470340245,6.9211980189974955,9.318227669841136,7.035403783206466,7.688774087700302,7.193988610052586,7.336733788213307,8.552680739763394
8,7.354303871162276,7.248508146833941,8.840784894805644,8.213079763511873,9.163651526314506,6.532070205519538,7.683975954829819,8.092106772747298,9.317333582304098,7.087764683214973,7.790283719672944,6.761977626537234,7.05218126431119,8.459656830842631,7.277172844342986,7.891240076436661,8.234913925603697,7.732179823787189,8.114709806235096,8.367532101602489,8.414713195991716,7.973237484201656,6.089708759076068,8.89404039962482
9,9.306397237632677,8.544517943965875,9.31196439580249,8.23590378292522,6.155116776746787,7.609334041043324,7.435865435255626,8.037313433911674,8.083575492612802,9.252995256765434,7.735984149743851,8.068591348339611,8.032992439248863,8.430742239746635,7.3083799654556465,9.108148893240099,7.6913784949955355,8.057314609162194,6.535065113696204,8.009760776163855,9.296694018500999,8.993177533583664,7.181318550204272,5.554310497173153
